ITEM CODE,"ITEM NAME 
(BRAND/MODEL)","ASSET NAME
(ASSET DESCRIPTION)"
MECHANICAL VENTILATION FAN,"MODEL SF22+ 8AP FM",FAF-PALLET LIFTER - L3-01
MECHANICAL VENTILATION FAN,"VERTICAL - 500 LITRES",FAF-PALLET LIFTER - L4-01
MECHANICAL VENTILATION FAN,"CD40+",EAF-DIRECTOR TOILET-L5-01
MECHANICAL VENTILATION FAN,"Schneider Electric",EAF-CHANGING ROOM - L1-02
MECHANICAL VENTILATION FAN,,FAF-CORRIDOR-L3-02
MECHANICAL VENTILATION FAN,,FAF-CORRIDOR-L4-02
AIR COMPRESSOR (OIL FREE SCROLL AIR COOLED),,AIR COMPRESSOR
VERTICAL AIR RECEIVER (500 LITRES),,AIR RECEIVER
AIR DRYER (HEATLESS ABSORPTION),,"AIR DRYER "
BUILDING MANAGEMENT SYSTEM (BMS),,BUILDING MANAGEMENT SYSTEM (BMS)
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
